crime_type,year,month,day,hour,location,latitude,longitude
criminal damage,2006,2,9,14,RESIDENCE,41.806886042,-87.735795069
criminal damage,2010,4,14,13,STREET,41.897390314,-87.651297664
criminal damage,2016,7,6,17,RESIDENCE-GARAGE,41.93647023,-87.681908498
battery,2013,2,16,18,SIDEWALK,42.019367214,-87.669963926
theft,2008,8,17,21,VEHICLE NON-COMMERCIAL,41.793981982,-87.591655814
theft,2004,2,7,18,STREET,41.729452225,-87.642214732
battery,2011,9,9,13,VEHICLE NON-COMMERCIAL,41.78627971,-87.653459282
battery,2011,7,14,23,APARTMENT,41.850931768,-87.722259875
battery,2010,6,6,14,CTA BUS STOP,41.883951907,-87.706205795
theft,2005,4,13,21,COLLEGE/UNIVERSITY GROUNDS,41.70603236,-87.712431335
criminal damage,2003,12,11,8,RESIDENCE,41.874804308,-87.758449369
theft,2006,10,8,24,STREET,41.816647898,-87.616002363
criminal damage,2007,4,10,6,GROCERY FOOD STORE,41.786552107,-87.722981621
criminal damage,2005,10,1,23,STREET,41.922770812,-87.674169659
criminal damage,2001,8,13,11,SIDEWALK,41.834116637,-87.621975693
theft,2006,10,21,8,STREET,41.753076082,-87.567469931
criminal damage,2015,12,8,20,LIBRARY,41.876607964,-87.627644063
theft,2001,11,20,4,STREET,41.725276398,-87.563382294
battery,2008,9,17,20,STREET,41.800594881,-87.690328209
battery,2013,3,20,14,TAVERN/LIQUOR STORE,41.891840918,-87.711630436
criminal damage,2016,3,14,3,PARKING LOT/GARAGE(NON.RESID.),41.967860872,-87.674146279
theft,2008,11,3,18,STREET,41.681632574,-87.625568589
theft,2012,11,21,3,STREET,41.929112701,-87.700008757
criminal damage,2012,11,26,11,SMALL RETAIL STORE,41.765755571,-87.576292427
criminal damage,2006,3,15,7,PARKING LOT/GARAGE(NON.RESID.),41.925246375,-87.661433463
battery,2008,8,17,10,STREET,41.848707168,-87.636634704
criminal damage,2004,10,28,17,CTA BUS,41.884925455,-87.624475099
battery,2003,8,4,11,STREET,42.015023337,-87.679076204
battery,2001,3,21,15,SIDEWALK,41.88363249,-87.768388272
theft,2011,7,17,9,ALLEY,41.866044299,-87.734220229
battery,2002,1,17,13,CTA PLATFORM,41.886901317,-87.745509261
battery,2004,11,22,11,STREET,41.89765683,-87.726152565
battery,2013,1,29,16,APARTMENT,41.792763782,-87.76054721
battery,2006,1,19,24,VEHICLE NON-COMMERCIAL,41.892324548,-87.742418463
criminal damage,2002,10,18,11,STREET,41.91098647,-87.701892642
battery,2003,8,13,16,STREET,41.875163991,-87.733797258
theft,2003,6,18,19,STREET,41.745571292,-87.575880993
theft,2005,8,4,9,RESIDENCE,41.771420432,-87.661571183
criminal damage,2011,8,1,21,CTA TRAIN,41.877850233,-87.629290122
criminal damage,2004,2,6,17,OTHER,41.895150666,-87.648012165
theft,2012,11,17,20,STREET,41.850053044,-87.697386768
criminal damage,2009,10,22,11,SIDEWALK,41.792863743,-87.674262877
criminal damage,2002,8,12,18,PARKING LOT/GARAGE(NON.RESID.),41.877905955,-87.64987086
theft,2002,9,13,19,RESIDENCE,41.861624227,-87.721383491
