delayed,month,day,weekday,arr_hour,dep_hour,origin,dest,distance,carrier
30,6,9,6,19,16,BOS,DFW,1562,AA
0,1,19,5,9,8,CVG,DTW,229,9E
15,10,29,1,18,16,ORD,MCI,403,UA
30,6,20,3,21,19,MDW,PHX,1444,WN
60,12,31,1,16,13,ORD,LGA,733,AA
120,4,5,4,9,8,ABQ,PHX,328,US
0,11,8,4,10,8,MSY,MCI,690,XE
15,1,12,5,13,12,ATL,SAV,215,DL
0,11,1,4,23,21,MSP,BOI,1142,NW
15,6,4,1,13,11,ORD,PIT,412,MQ
0,2,20,2,18,16,DTW,SLC,1481,OO
0,5,13,7,19,17,TUS,ABQ,321,WN
0,11,12,1,12,11,SMF,ONT,389,WN
15,4,3,2,14,8,SFO,ORD,1846,UA
15,7,26,4,6,6,FAI,ANC,261,AS
45,11,11,7,19,19,AUS,HOU,148,WN
120,1,17,3,16,12,DFW,PHL,1302,AA
0,9,14,5,14,12,IAD,JAX,631,YV
0,9,30,7,19,18,SJC,LAX,308,WN
0,6,4,1,6,23,SEA,BWI,2335,FL
0,6,11,1,17,16,SLC,LAX,590,OO
90,7,31,2,17,16,LAW,DFW,140,MQ
30,12,3,1,17,14,SAV,LGA,722,OH
0,3,6,2,12,9,MEM,CLT,512,9E
0,3,1,4,17,14,IAD,MIA,921,MQ
45,6,25,1,16,13,ISP,FLL,1093,WN
0,5,14,1,19,18,RDU,BWI,255,WN
0,11,9,5,20,18,JAX,DCA,634,US
0,3,12,1,9,8,CLE,DAY,162,XE
0,6,26,2,10,8,SEA,LAX,954,AS
0,6,20,3,20,19,HNL,KOA,163,YV
30,7,10,2,19,18,SGF,DFW,364,MQ
0,8,16,4,17,14,MKE,DFW,853,MQ
0,12,20,4,18,16,BGR,DTW,750,9E
0,3,24,6,19,18,DFW,TUS,813,AA
15,3,4,7,6,23,PHX,JFK,2153,B6
0,10,29,1,20,13,SEA,ATL,2182,DL
0,10,1,1,9,6,SEA,SLC,689,DL
0,2,26,1,10,8,DEN,SNA,846,UA
30,12,30,7,16,14,BUF,ATL,712,FL
120,2,25,7,17,16,ABE,DTW,424,9E
0,2,7,3,17,15,DTW,BWI,408,NW
0,12,9,7,9,6,BHM,ORD,584,YV
0,7,11,3,8,7,DAL,AMA,324,WN
15,2,6,2,15,14,DFW,MSY,448,AA
0,5,11,5,17,15,RDU,LGA,431,OH
15,8,24,5,18,17,RDU,DCA,227,MQ
0,4,22,7,15,13,MIA,DFW,1121,AA
0,5,8,2,17,16,RAP,DEN,301,OO
0,2,24,6,12,11,STL,MEM,256,9E
15,8,8,3,23,21,ORD,GRR,137,MQ
0,3,9,5,12,11,SYR,CVG,527,OH
15,12,30,7,9,7,ATL,PBI,545,DL
0,11,24,6,7,6,GEG,SEA,224,AS
30,12,1,6,20,17,MSY,IAD,954,UA
0,9,29,6,8,7,ORF,ATL,516,DL
30,5,28,1,20,18,MCO,ATL,403,DL
45,10,18,4,22,20,DEN,BZN,525,OO
0,1,25,4,10,8,LGA,CLE,418,XE
30,12,22,6,20,18,ATL,ORD,606,UA
0,12,2,7,17,14,DTW,IAH,1076,CO
0,5,20,7,23,15,SFO,BWI,2457,UA
0,9,23,7,10,9,OGG,LIH,202,AQ
0,10,24,3,18,14,SJU,PHL,1576,US
0,9,21,5,18,16,BOS,BWI,370,OH
0,6,29,5,8,6,DTW,LGA,501,NW
0,6,14,4,19,16,BOS,FLL,1237,B6
0,4,22,7,16,13,MSP,DCA,931,NW
0,9,21,5,22,20,BWI,FLL,925,WN
15,10,21,7,12,9,DFW,BWI,1217,AA
0,6,2,6,11,10,SLC,COS,410,OO
60,7,27,5,22,21,BWI,PVD,328,WN
0,8,16,4,23,22,DTW,TVC,207,NW
15,2,28,3,11,8,MIA,DTW,1145,NW
0,5,5,6,19,18,IAD,HSV,595,YV
90,5,20,7,19,17,IND,EWR,644,CO
30,2,7,3,8,6,SAN,SJC,417,WN
15,12,7,5,7,6,DRO,DEN,251,OO
0,11,15,4,0,21,MHT,MCO,1142,WN
0,11,22,4,18,16,DFW,CRP,354,MQ
15,12,20,4,20,18,LAX,RNO,390,OO
0,1,29,1,22,21,DFW,LAX,1235,AA
60,5,11,5,21,20,DFW,BTR,383,MQ
30,7,10,2,17,15,SEA,SFO,679,UA
45,2,3,6,14,13,ASE,SLC,291,OO
0,10,17,3,22,21,DEN,TUS,639,F9
0,9,26,3,11,10,DTW,EWR,487,NW
0,1,5,5,22,20,DFW,XNA,281,MQ
15,6,25,1,12,9,MEM,GSP,441,9E
15,12,17,1,8,6,BNA,IAH,657,XE
0,1,1,1,17,15,PBI,BWI,883,WN
0,4,5,4,17,15,SYR,ATL,793,EV
0,6,7,4,15,7,LAS,JFK,2248,DL
0,8,31,5,22,20,BWI,FLL,925,WN
0,4,3,2,19,17,IAD,DAB,703,YV
0,6,1,5,23,18,SMF,SAT,1463,XE
0,5,16,3,14,11,ORD,PHL,678,US
0,12,9,7,12,10,DEN,ICT,419,UA
0,2,1,4,8,6,BNA,MCI,491,WN
15,1,4,4,11,10,DFW,SAN,1171,AA
15,12,18,2,12,11,LAX,SJC,308,MQ
0,6,11,1,22,19,DEN,ORD,888,UA
0,5,27,7,18,17,ATL,DFW,732,DL
0,3,18,7,10,9,BWI,CLE,314,WN
0,1,13,6,17,14,ORD,RIC,642,MQ
0,8,28,2,14,12,ORD,CLE,316,MQ
135,7,26,4,12,6,LAX,ORD,1745,AA
0,12,25,2,17,15,DFW,SMF,1431,AA
0,8,16,4,11,9,TPA,BWI,842,WN
0,1,31,3,11,10,RDU,IND,489,9E
0,2,15,4,14,11,MCO,CLE,895,CO
75,6,18,1,16,13,MCO,DTW,957,NW
15,1,6,6,21,18,BWI,JAX,663,WN
75,6,30,6,15,15,SLC,PHX,507,OO
30,4,8,7,15,14,PHL,CLE,363,XE
45,12,30,7,12,11,RDU,MKE,689,OO
45,9,5,3,22,20,DEN,TUL,541,UA
75,2,4,7,9,8,ATL,LAS,1747,DL
0,6,12,2,22,20,MSP,MBS,463,NW
15,9,6,4,21,21,SLC,LAS,368,WN
0,6,28,4,17,17,ATL,VPS,264,EV
15,12,17,1,17,15,FAY,ATL,331,EV
0,9,6,4,18,10,LAX,MCO,2217,UA
0,5,3,4,10,7,ORD,RDU,647,AA
105,2,3,6,9,7,MSP,PHX,1276,US
0,3,7,3,10,8,SEA,ANC,1449,AS
0,11,13,2,9,7,MSY,LAX,1671,UA
30,6,7,4,18,16,SLC,COS,410,OO
0,6,27,3,14,9,LAX,IAH,1379,CO
0,9,11,2,10,8,SNA,OAK,371,WN
0,10,14,7,8,7,TUL,STL,351,WN
0,2,2,5,18,18,OGG,HNL,100,AQ
0,11,14,3,15,14,CLT,SAV,213,YV
15,12,9,7,20,17,CMH,PHX,1671,US
45,7,15,7,22,20,IAD,BOS,413,B6
90,6,13,3,8,0,LAX,ATL,1946,DL
0,3,14,3,12,11,SFO,CEC,304,OO
0,1,5,5,21,20,SJC,BUR,296,WN
15,11,2,5,17,16,LIH,HNL,102,HA
15,2,11,7,16,15,SJC,SNA,342,MQ
0,1,5,5,16,13,SBA,SLC,615,OO
0,12,4,2,12,9,LAX,OGG,2486,UA
45,4,1,7,13,11,HSV,ATL,151,EV
75,2,14,3,18,17,ATL,JAX,270,DL
90,5,4,5,9,7,HSV,DFW,603,AA
15,6,6,3,19,17,ATL,MYR,317,EV
15,6,27,3,10,8,JFK,ORF,289,OH
0,7,31,2,13,12,RNO,OAK,180,WN
0,11,2,5,19,17,GRR,IAH,1042,XE
0,1,14,7,19,18,GRB,ORD,174,MQ
45,7,20,5,9,9,ATL,EVV,350,EV
0,8,15,3,10,8,ATL,RDU,356,DL
45,8,30,4,20,18,PVD,ORD,849,MQ
75,8,22,3,12,11,MSP,LAS,1300,NW
15,6,15,5,22,19,ORD,SDF,286,MQ
45,12,6,4,20,19,SDF,ORD,286,MQ
30,5,10,4,11,9,JFK,RDU,426,B6
30,11,15,4,13,12,COS,PHX,551,YV
15,10,5,5,22,19,MDW,ALB,717,WN
15,7,19,4,17,16,SLC,TUS,601,OO
0,11,17,6,14,11,SAN,DEN,853,F9
0,6,18,1,17,17,HNL,OGG,100,HA
0,1,24,3,8,7,MCI,DEN,533,WN
15,9,12,3,10,8,DEN,SEA,1024,F9
0,9,8,6,16,14,ORD,LAS,1515,UA
0,3,1,4,18,17,TUS,LAX,451,OO
0,8,28,2,16,14,ILM,ATL,377,EV
0,7,7,6,23,22,DFW,LAS,1055,US
0,5,19,6,14,13,BDL,BWI,283,WN
30,8,9,4,14,13,CLT,MCO,468,US
0,10,31,3,17,12,SFO,IAH,1635,CO
0,9,14,5,13,10,SAT,ATL,874,OO
0,5,14,1,18,16,MIA,CVG,948,OH
0,2,16,5,20,18,CAK,ATL,528,EV
15,5,10,4,17,13,BZN,MSP,874,NW
30,12,10,1,21,19,MSP,GRR,408,NW
0,10,25,4,10,8,MCO,PHL,861,FL
15,10,10,3,12,10,SFO,LAS,414,WN
15,12,26,3,14,13,ATL,MLU,448,EV
0,12,27,4,15,10,IAH,LGA,1416,CO
15,8,23,4,22,19,BNA,FLL,793,WN
30,1,15,1,17,13,LAX,LIH,2615,UA
45,5,22,2,17,16,LAS,SMF,397,WN
0,4,13,5,18,15,PDX,DEN,992,UA
0,2,1,4,21,17,EWR,PHX,2133,US
0,1,27,6,12,10,CVG,ATL,373,DL
0,5,27,7,14,12,CLT,ATL,227,DL
0,5,23,3,20,19,LAX,OAK,337,WN
0,3,26,1,11,10,SMF,LAX,373,WN
0,8,4,6,22,21,DEN,TUS,639,OO
0,5,2,3,19,17,MIA,ATL,595,AA
15,12,13,4,17,15,ATL,ICT,781,EV
30,8,31,5,19,17,ROC,ATL,749,FL
15,4,14,6,19,18,JAX,ATL,270,DL
0,3,24,6,16,11,SAN,ORD,1723,UA
0,2,10,6,17,11,PDX,ORD,1739,UA
30,12,2,7,19,15,MIA,EWR,1086,CO
60,5,30,3,17,15,DFW,MKE,853,MQ
0,7,6,5,15,13,DFW,LFT,351,MQ
