fgm,period,shot_clock,dribbles,touch_time,shot_dist,pts_type,close_def_dist,shooter_height,defender_height,player_name
1,4,7.3,0,1.3,4.8,2,0.3,85,82,donatas motiejunas
0,2,15.7,0,0.7,23,3,3.8,81,77,marvin williams
0,2,23.7,0,0.3,19.4,2,4,79,79,chase budinger
1,1,12.2,3,4.2,9,2,2.4,85,83,steven adams
1,3,2.8,1,2,3.3,2,2.6,83,85,demarcus cousins
0,1,16.6,0,1.3,3.3,2,0.5,79,79,solomon hill
0,2,14.5,1,2.1,24.3,3,4.9,76,77,marcus thornton
1,3,3.9,0,0.9,24.2,3,2.7,78,73,michael carter-williams
0,2,3.6,1,1.4,24.5,3,3.2,79,79,nick young
0,1,21.1,0,-0.3,17.5,2,3.8,77,80,gerald henderson
0,1,16.3,0,1.3,24.8,3,8.9,81,83,luol deng
1,2,16.8,0,1.1,22.5,2,3.2,80,75,anthony bennett
1,4,9,0,0.7,3.1,2,2.1,81,82,lavoy allen
1,2,21,0,0.8,22.7,3,6.1,77,80,O.J. Mayo
0,2,14.4,0,10.5,2.7,2,2.5,80,77,derrick williams
1,2,14.3,1,1.5,4.9,2,2,81,86,carlos boozer
1,4,14,1,2.1,9.4,2,3.1,83,82,charlie villanueva
0,3,16.4,0,0.8,24.6,3,4.5,85,79,Dirk Nowitzki
1,3,16,1,1.7,3.4,2,2.3,85,85,omer asik
1,2,11.5,1,1,1.1,2,7.1,79,86,solomon hill
1,1,11,0,1.2,17.5,2,5.8,79,77,jimmy butler
0,1,5.6,0,0,24.3,3,6.6,81,76,luol deng
1,2,8.3,3,4.8,3.6,2,2.2,85,79,Dirk Nowitzki
0,3,9.9,3,4.8,2.3,2,2.7,80,83,paul millsap
0,4,3,0,0.7,22.5,3,4.7,82,79,damjan rudez
1,1,11.9,0,1,17.4,2,7.2,82,85,al horford
0,1,11.2,3,5.8,21,2,4.1,79,80,jimmy butler
1,3,8.6,1,3.6,6.3,2,2.6,78,83,tyreke evans
1,2,12.5,0,0.9,0.3,2,3.5,77,85,gerald henderson
0,2,17,0,0.8,19.5,2,4.8,80,82,anthony bennett
0,4,10,2,3,21.6,2,2.5,75,73,jeremy lin
1,4,10.2,0,0.6,1.6,2,2.2,82,80,chandler parsons
0,1,24,0,0,2.6,2,1,83,82,kevin garnett
1,4,17,8,7.7,24.9,3,5.8,74,76,jeff teague
1,1,17.1,0,0.9,2.6,2,3.4,82,85,anthony davis
1,4,7.2,0,0.6,2.8,2,5,85,83,chris kaman
1,1,11.2,4,5.4,12.5,2,3.9,77,78,arron afflalo
1,4,15.1,0,0.8,5,2,3.5,80,81,derrick williams
0,3,8.2,17,14.9,15.2,2,2.4,75,73,andre miller
1,1,11,0,0.8,17.7,2,5.2,83,79,lamarcus aldridge
0,3,5.4,0,1,20.3,2,6.9,85,81,cody zeller
1,3,17,8,6.2,18.7,2,3.7,73,83,mo williams
0,3,18.5,0,1.8,24.7,3,11.8,80,73,trevor ariza
1,1,13,0,1,24.3,3,4.1,75,75,derrick rose
0,3,13.7,0,0.8,22.1,3,7.9,80,83,nicolas batum
1,1,13.2,0,0.7,24.5,3,5.9,79,81,matt barnes
0,3,9.5,0,1,25.7,3,8.7,79,78,andre roberson
0,1,14.7,0,0.8,24.4,3,5.6,79,76,jimmy butler
0,3,6.1,0,2.7,17.9,2,5,80,85,mike scott
1,2,9.5,0,0.8,18.8,2,4.9,77,78,bradley beal
1,1,15,0,0.8,22.6,3,8,78,80,Allen Crabbe
0,4,18,0,0.1,3.7,2,3.1,81,83,luke babbitt
1,4,11.4,14,12.3,18.8,2,6.8,76,85,john wall
1,2,13.5,3,3.2,17.2,2,3.5,77,77,jamal crawford
0,3,23.5,0,1,3.7,2,1.7,83,85,andre drummond
0,3,8,3,5.8,11.5,2,6.9,80,76,gordon hayward
0,4,16,5,6.4,20.9,2,3.4,80,78,trevor ariza
0,1,17.1,0,1,24.6,3,9.1,85,77,donatas motiejunas
0,4,11.7,7,6.9,9.8,2,3,75,76,monta ellis
1,2,12.1,0,1.4,2,2,2.1,82,82,aron baynes
0,5,6.4,6,6.9,2.8,2,1.4,78,80,tyreke evans
0,1,17.8,7,7.9,10,2,0.4,79,78,michael kidd-gilchrist
1,1,16.5,1,1.2,15.3,2,1.8,80,75,andrew wiggins
1,1,15.3,0,0.9,20.7,2,5.6,82,85,jon leuer
0,2,2.2,6,4.6,4.2,2,1.9,76,80,marcus thornton
0,1,17.2,0,0.4,21.4,2,6.1,83,81,lamarcus aldridge
1,2,21.6,1,1.2,3,2,1.3,82,80,markieff morris
0,1,18.7,0,1.4,22.9,3,5.7,79,76,klay thompson
0,4,3.9,0,1.8,9.8,2,0,80,80,khris middleton
0,2,7,0,0.8,21.8,2,5.6,82,83,jordan hill
0,4,6.5,1,1.9,1,2,1.8,82,85,ed davis
1,2,19.1,6,5,5.4,2,3.5,73,83,brandon jennings
0,4,10.3,1,1,2.9,2,1.4,83,85,enes kanter
1,1,13,1,1.6,7.1,2,2.5,73,85,aaron brooks
1,2,3,14,11.3,4.2,2,1.9,76,82,victor oladipo
0,3,17.2,7,6.5,4.2,2,3,76,85,elfrid payton
0,4,2.3,1,5.1,3.7,2,1.7,80,80,thaddeus young
1,1,16.3,0,0.1,1.9,2,2.1,81,81,luol deng
1,3,17,0,1.3,3.4,2,1.8,82,78,al jefferson
0,1,9.7,5,4,14.4,2,5.7,73,71,kemba walker
1,1,15.5,0,1.1,23.6,3,5.6,77,83,courtney lee
0,4,17.5,0,1.4,28.4,3,5.1,75,75,pablo prigioni
0,2,6.3,0,0.6,9.6,2,6.1,81,83,lavoy allen
1,4,7.2,0,1,3,2,2.6,82,85,aron baynes
0,3,8.7,1,3.1,9.7,2,1.9,78,80,shabazz muhammad
1,2,18.2,0,1.4,0.5,2,2.4,82,83,blake griffin
0,2,19.1,5,3.5,24.5,3,6,76,80,kirk hinrich
0,2,23.7,1,1,8.9,2,3.8,85,82,andrew bogut
1,1,6.9,3,6.3,1.3,2,2.4,79,80,solomon hill
0,2,13.7,1,3.4,14.8,2,3,78,81,kobe bryant
0,4,12.7,0,0.8,18,2,4.5,80,80,derrick williams
0,4,18.2,7,6,2.7,2,1.3,78,85,kobe bryant
0,2,6.4,0,0.7,25.5,3,5.1,79,78,solomon hill
0,4,4,0,2,25.3,3,6.8,79,75,wesley johnson
1,1,20.1,0,0.9,24,3,3.8,79,81,jared dudley
0,2,14,2,3,7,2,2.6,71,75,shane larkin
0,3,7.1,0,1.4,2,2,1.1,83,81,pero antic
0,4,4.5,0,0.8,20,2,6.8,82,79,anthony davis
1,3,4,0,1,3.3,2,1.5,83,76,mason plumlee
1,3,15.1,0,0.8,18.8,2,4.8,85,81,jason smith
1,4,17.9,0,0.8,4.6,2,5.2,82,73,nikola mirotic
1,2,18.8,3,5.1,24.4,3,4,79,80,gerald green
0,2,21.7,0,0.8,23.3,3,7.6,81,83,patrick patterson
0,2,9.4,3,3.8,10.1,2,3.3,75,75,damian lillard
0,4,10.7,2,4.2,5.9,2,2.3,82,81,blake griffin
0,2,10.6,2,2.9,10,2,1.8,78,77,shabazz muhammad
1,2,11.3,0,0.8,3.5,2,2.3,85,82,cody zeller
1,1,23.6,0,1.3,3.9,2,2.1,83,81,lamarcus aldridge
1,3,10.7,0,0.8,24.6,3,6.9,77,80,wesley matthews
0,1,3.2,0,1,10.3,2,4.7,82,83,jordan hill
0,3,15.2,1,2.1,18.9,2,5.9,83,86,lamarcus aldridge
1,2,8.7,0,0.8,23.4,3,9.8,78,82,kj mcdaniels
0,3,16.1,1,2,18.7,2,5.7,82,76,al horford
0,1,6.5,2,2.3,5,2,0.3,85,85,jusuf nurkic
0,4,24,0,0,1.7,2,2.1,80,82,thaddeus young
0,2,7.7,3,4.6,4.9,2,0.8,82,83,serge ibaka
0,3,6,0,0,17.5,2,4.4,82,83,al jefferson
0,3,10.6,0,0.8,22.3,3,4.4,77,77,courtney lee
0,2,13,6,10.5,2.5,2,0,75,78,kyrie irving
1,3,15.1,10,8.8,4.7,2,3.5,71,80,ty lawson
0,2,6.2,2,1.8,17.8,2,6.1,77,85,rodney stuckey
0,3,15.5,0,1,25.4,3,9.2,80,83,boris diaw
1,4,10.8,1,2.1,3.5,2,3.2,76,83,tony allen
1,3,18.4,0,0.8,5.1,2,2.9,82,81,derrick favors
0,1,13.4,1,4.8,6.5,2,2.4,83,82,lamarcus aldridge
1,2,8.7,0,0.7,23,3,4,85,80,spencer hawes
1,1,13.3,0,0.8,24.8,3,12.3,79,79,matt barnes
1,4,10.9,0,0.9,22.9,3,7.9,73,78,mike conley
1,3,11.8,0,0.9,23.6,3,8.8,78,85,andre iguodala
0,2,10.2,0,1.3,8.2,2,1.4,83,83,marcin gortat
0,1,9.6,0,0.9,22.5,3,5.6,75,79,jarrett jack
0,1,5,10,5.8,7.4,2,2.5,79,81,michael kidd-gilchrist
1,3,7.3,0,0.9,19.8,2,5.7,83,82,jason thompson
1,3,17.7,0,0.1,6.4,2,2.7,82,85,marreese speights
1,4,5.1,0,0.6,4.2,2,3.8,85,85,tyler zeller
0,4,22.2,0,-0.1,3.1,2,2.3,79,81,rasual butler
1,4,18.7,2,3.2,5.4,2,4.4,83,76,giannis antetokounmpo
0,1,10,0,-0.2,15.4,2,2.2,78,79,cj miles
0,2,4.9,0,0.7,5.5,2,1.6,80,83,lebron james
0,3,5.1,0,0.5,21.3,2,5.5,82,85,jordan hill
0,2,1.5,2,3.3,21.3,3,1.8,74,75,mario chalmers
1,3,9.2,3,6,13.5,2,2,73,73,kyle lowry
1,4,20.3,1,1.8,2.3,2,7.8,78,81,greivis vasquez
1,2,17.5,0,0.8,4.6,2,4.9,77,81,jamal crawford
1,3,6.7,5,7.1,17.8,2,4.7,74,82,cj watson
1,4,21.3,1,2.1,6.8,2,1.9,79,79,joe johnson
0,2,8.3,0,1,24.6,3,4.9,74,75,avery bradley
0,3,6.7,0,0.7,23.9,3,2.7,75,71,donald sloan
0,3,11.9,1,2,4.4,2,2,69,74,isaiah thomas
1,1,13.4,2,3.4,16,2,3.4,79,83,paul pierce
1,2,17.7,0,5.3,3.9,2,1.9,75,82,kyrie irving
1,4,20.3,1,1.6,6,2,1.8,77,78,jamal crawford
1,1,18.9,5,5.2,3.8,2,4.4,76,81,elfrid payton
1,4,10.4,0,0.8,22.5,3,4.9,78,75,tim hardaway jr.
1,3,6,0,0.6,4.2,2,3.5,73,81,eric bledsoe
1,4,9.8,5,4.7,19.9,2,5.3,75,83,reggie jackson
1,3,9.8,7,7.9,19.5,2,3.8,77,83,jamal crawford
1,2,15.2,0,1.5,6.7,2,1.3,81,83,jj hickson
1,1,14,2,2,4.6,2,1.1,82,85,anthony davis
1,1,20.1,4,4.3,15.9,2,3.4,77,81,lance stephenson
0,3,3.2,0,1,0.9,2,0.7,85,83,andrew bogut
1,2,12.22,0,0.9,26,3,4,79,78,wesley johnson
1,2,15.2,0,0.9,4.5,2,3.5,83,83,channing frye
1,5,9.6,1,2.5,5.5,2,2.6,79,81,paul pierce
1,3,19,0,1.2,2.4,2,2.4,85,82,jerome jordan
0,3,3.5,0,1.4,1.1,2,1.8,85,80,timofey mozgov
1,2,19.6,6,5.8,6.2,2,3.8,81,78,Al-Farouq Aminu
1,2,24,0,0.3,2,2,7.2,77,73,zach lavine
0,3,5,1,1.6,14,2,4,79,77,jimmy butler
1,4,12.5,0,0.8,25.5,3,5.5,69,74,nate robinson
0,3,19,2,2.4,11.9,2,4,77,77,rodney stuckey
0,4,19.6,4,3.9,24.4,3,5.2,77,76,arron afflalo
0,1,7,0,0.9,19.6,2,8,82,83,jordan hill
0,3,5.3,1,1.6,5.6,2,2.5,79,78,michael kidd-gilchrist
0,4,5.9,3,2.1,14.9,2,4.1,78,82,tim hardaway jr.
0,3,3,0,0.9,3.5,2,0.7,76,78,tony allen
1,2,17,1,1.8,19.4,2,4.7,79,78,kawhi leonard
1,3,5.9,0,1,21.6,2,7.4,82,81,blake griffin
1,2,12.6,1,1.9,2.9,2,1.6,81,81,carlos boozer
0,2,7.6,0,1,5.8,2,0.9,80,82,kenneth faried
1,2,17.5,5,6,8.2,2,0,80,85,lebron james
1,1,11,1,1.6,4.6,2,3.7,81,79,marcus morris
1,1,10.9,1,3,6.9,2,2.8,85,82,jonas valanciunas
0,4,20,0,0.9,24.2,3,8.6,74,73,jimmer fredette
0,3,11.9,1,1.4,12.2,2,2.2,77,78,rodney stuckey
1,3,24,1,0.6,1.5,2,3.2,77,82,bradley beal
0,4,11.4,5,4.8,18.1,2,5.9,73,86,darren collison
1,4,24,0,0,1,2,2.8,77,85,anthony morrow
1,2,3.5,2,2.8,3.5,2,2.1,85,83,pau gasol
1,1,8.6,0,1.8,0.8,2,4.6,76,81,tony allen
1,2,16.9,0,0.6,0.5,2,6.9,82,80,anthony davis
1,1,4.2,1,2.2,4.6,2,2.6,85,73,pau gasol
0,4,10.3,3,2.6,3.2,2,2.5,73,71,jose juan barea
0,2,23,0,1.9,0.7,2,1.8,76,85,victor oladipo
0,3,3,2,1.9,10.5,2,3,71,81,shane larkin
0,1,4.1,0,1.5,21.9,2,6.9,83,83,tim duncan
0,2,16.8,7,5.7,18.4,2,3.5,73,78,jose juan barea
0,1,8.4,0,1.4,21.5,2,3.8,83,80,jason thompson
0,3,14,0,0,1.7,2,2.3,75,77,jeremy lin
0,1,24,0,0,0.9,2,3,85,77,omer asik
0,3,24,0,0.5,16.7,2,0.9,82,83,serge ibaka
1,3,16.9,1,1.5,4.6,2,2.4,85,85,nikola vucevic
0,4,14.3,0,0.7,20.9,3,2.9,75,75,kyrie irving
1,1,5.2,0,1.8,21.5,2,2.2,83,85,Nene
